date,code,open,high,low,close,volume,duo,kong
2009-10-15,601888,4.81,5.51,4.52,5.3,153586480,False,False
2009-10-16,601888,5.09,5.15,4.44,4.46,97013272,False,True
2009-10-19,601888,4.66,4.82,4.46,4.68,61362480,True,False
2009-10-20,601888,4.58,5.47,4.57,5.47,54707568,False,False
2009-10-21,601888,5.54,5.61,5.23,5.29,60027724,False,False
2009-10-22,601888,5.2,5.48,5.08,5.39,40086512,False,False
2009-10-23,601888,5.39,5.5,5.26,5.32,29526948,False,False
2009-10-26,601888,5.21,5.28,4.81,5.0,34001888,False,False
2009-10-27,601888,4.88,4.94,4.71,4.8,19475298,False,False
2009-10-28,601888,4.75,4.98,4.74,4.93,18534588,False,False
2009-10-29,601888,4.85,4.98,4.61,4.65,19046712,False,False
2009-10-30,601888,4.75,4.86,4.56,4.63,16257920,False,False
2009-11-02,601888,4.46,4.63,4.23,4.6,22777154,False,True
2009-11-03,601888,4.56,4.88,4.5,4.76,20281500,True,False
2009-11-04,601888,4.71,4.84,4.66,4.81,18631500,False,False
2009-11-05,601888,4.81,5.51,4.72,5.32,30960622,False,False
2009-11-06,601888,5.3,5.58,5.21,5.36,47263312,False,False
2009-11-09,601888,6.22,6.22,6.05,6.22,44506236,False,False
2009-11-10,601888,6.24,6.36,6.08,6.25,38681404,False,False
2009-11-11,601888,5.93,6.06,5.8,5.9,25661476,False,False
2009-11-12,601888,5.94,6.05,5.66,5.76,19736562,False,False
2009-11-13,601888,5.73,6.36,5.66,6.28,26856738,False,False
2009-11-16,601888,6.33,6.66,6.21,6.4,21190288,False,False
2009-11-17,601888,6.35,7.01,6.26,6.74,21942372,False,False
2009-11-18,601888,6.67,6.9,6.64,6.86,16399913,False,False
2009-11-19,601888,6.83,7.35,6.76,7.29,15897610,False,False
2009-11-20,601888,7.21,7.35,7.01,7.05,13494622,False,False
2009-11-23,601888,6.96,7.31,6.79,7.26,10710210,False,False
2009-11-24,601888,7.45,7.7,6.56,6.69,22133312,False,False
2009-11-25,601888,6.58,7.31,6.58,7.22,19949476,False,False
2009-11-26,601888,7.5,7.7,6.33,6.43,32708958,False,False
2009-11-27,601888,6.31,6.35,5.99,6.01,15897055,False,False
2009-11-30,601888,6.26,6.69,6.22,6.67,12981892,False,False
2009-12-01,601888,6.65,7.31,6.56,7.23,16938156,False,False
2009-12-02,601888,7.19,7.45,7.01,7.15,12683027,False,False
2009-12-03,601888,7.11,7.51,7.01,7.46,11938882,False,False
2009-12-04,601888,7.51,7.66,6.93,7.15,14586304,False,False
2009-12-07,601888,7.18,7.33,6.96,7.19,10419046,False,False
2009-12-08,601888,7.11,7.15,6.83,6.89,10205680,False,False
2009-12-09,601888,6.76,6.87,6.63,6.72,5708700,False,False
2009-12-10,601888,6.77,6.91,6.55,6.69,7716912,False,False
2009-12-11,601888,6.74,6.93,6.62,6.7,5783469,False,False
2009-12-14,601888,6.7,6.84,6.39,6.72,7543717,False,False
2009-12-15,601888,6.61,7.03,6.61,6.76,7733999,False,False
2009-12-16,601888,6.7,6.82,6.51,6.61,6338009,False,False
2009-12-17,601888,6.54,6.59,6.01,6.07,9383431,False,False
2009-12-18,601888,5.97,6.18,5.83,5.97,5204991,False,False
2009-12-21,601888,6.11,6.19,6.0,6.07,5436170,False,False
2009-12-22,601888,6.07,6.13,5.67,5.75,5099018,False,False
2009-12-23,601888,5.8,6.07,5.76,6.04,5641273,False,False
2009-12-24,601888,6.07,6.33,6.01,6.19,7790577,False,False
2009-12-25,601888,6.15,6.21,5.96,6.06,6917919,False,False
2009-12-28,601888,6.1,6.58,6.09,6.47,10398149,False,False
2009-12-29,601888,6.6,7.44,6.45,7.27,26045100,False,False
2009-12-30,601888,7.15,7.23,6.95,6.96,19955342,False,False
2009-12-31,601888,6.96,7.36,6.96,7.23,12618486,False,False
2010-01-04,601888,7.45,7.55,7.11,7.13,17765900,False,False
2010-01-05,601888,7.25,7.45,7.05,7.15,17010608,False,False
2010-01-06,601888,7.26,7.26,6.86,6.86,9446462,False,False
2010-01-07,601888,6.93,7.51,6.85,7.18,22742356,False,False
2010-01-08,601888,7.01,7.11,6.81,7.01,9302308,False,False
2010-01-11,601888,7.05,7.05,6.73,6.83,9235075,False,False
2010-01-12,601888,6.77,7.15,6.72,7.03,8698729,False,False
2010-01-13,601888,6.76,7.1,6.75,6.8,10059047,False,False
2010-01-14,601888,6.78,7.18,6.76,6.98,9836576,False,False
2010-01-15,601888,6.94,6.94,6.66,6.69,24733996,False,False
2010-01-18,601888,6.64,7.08,6.61,7.04,20248380,False,False
2010-01-19,601888,7.05,7.25,6.88,7.12,17332690,False,False
2010-01-20,601888,7.16,7.26,6.61,6.69,14076205,False,False
2010-01-21,601888,6.69,6.74,6.5,6.53,10276358,False,False
2010-01-22,601888,6.36,6.4,5.89,6.11,11751851,False,False
2010-01-25,601888,6.06,6.24,6.01,6.03,4985292,False,False
2010-01-26,601888,6.11,6.25,5.71,5.8,6840915,False,False
2010-01-27,601888,5.8,6.08,5.71,5.85,7013184,False,False
2010-01-28,601888,5.87,6.15,5.8,6.14,6380439,False,False
2010-01-29,601888,6.04,6.29,5.96,6.14,6693865,False,False
2010-02-01,601888,6.13,6.56,5.99,6.47,10411129,False,False
2010-02-02,601888,6.5,6.51,6.08,6.15,8543212,False,False
2010-02-03,601888,6.06,6.66,5.86,6.46,14461735,False,False
2010-02-04,601888,6.39,6.96,6.26,6.71,21952444,False,False
2010-02-05,601888,6.51,6.66,6.16,6.26,14344894,False,False
2010-02-08,601888,6.26,6.37,6.01,6.19,4942512,False,False
2010-02-09,601888,6.18,6.32,6.0,6.06,5268717,False,False
2010-02-10,601888,6.11,6.19,6.02,6.19,4143561,False,False
2010-02-11,601888,6.18,6.24,6.03,6.04,3952363,False,False
2010-02-12,601888,6.05,6.18,6.04,6.09,3879952,False,False
2010-02-22,601888,6.07,6.07,5.75,5.86,8918322,False,False
2010-02-23,601888,5.85,6.0,5.76,5.98,5423123,False,False
2010-02-24,601888,5.92,6.13,5.86,6.1,5393868,False,False
2010-02-25,601888,6.17,6.19,6.05,6.16,8872163,False,False
2010-02-26,601888,6.15,6.3,6.05,6.1,7288856,False,False
2010-03-01,601888,6.1,6.23,6.05,6.22,12132800,False,False
2010-03-02,601888,6.26,6.45,6.16,6.3,11084599,False,False
2010-03-03,601888,6.31,6.41,6.22,6.34,8827510,False,False
2010-03-04,601888,6.35,6.41,5.86,5.92,10292512,False,False
2010-03-05,601888,5.96,6.07,5.88,6.02,6417529,False,False
2010-03-08,601888,6.03,6.17,5.93,6.13,6051797,False,False
2010-03-09,601888,6.08,6.31,6.01,6.25,6392768,False,False
2010-03-10,601888,6.25,6.3,6.09,6.15,4128530,False,False
2010-03-11,601888,6.14,6.2,5.87,5.93,4806465,False,False
2010-03-12,601888,5.96,5.99,5.73,5.76,5753149,False,False
2010-03-15,601888,5.73,5.75,5.48,5.54,6857710,False,False
2010-03-16,601888,5.54,5.65,5.51,5.62,3267688,False,False
2010-03-17,601888,5.63,5.84,5.63,5.8,3947871,False,False
2010-03-18,601888,5.81,5.85,5.76,5.77,3359838,False,False
2010-03-19,601888,5.78,5.85,5.61,5.82,4966291,False,False
2010-03-22,601888,5.82,5.91,5.76,5.88,3696310,False,False
2010-03-23,601888,5.88,5.88,5.69,5.7,3782902,False,False
2010-03-24,601888,5.71,5.8,5.66,5.68,3500190,False,False
2010-03-25,601888,5.66,5.78,5.59,5.68,4415726,False,False
2010-03-26,601888,5.68,6.08,5.62,5.96,8631147,False,False
2010-03-29,601888,5.96,6.1,5.87,5.99,6978315,False,False
2010-03-30,601888,5.95,6.09,5.91,6.04,6059792,False,False
2010-03-31,601888,6.06,6.18,5.99,6.1,6071633,False,False
